Date,Open,High,Low,Close,Adj Close,Volume
2019-08-27,43.709999,43.799999,42.349998,42.439999,41.645096,19122100
2019-08-28,42.099998,43.259998,41.759998,43.150002,42.341801,11545700
2019-08-29,43.990002,45.220001,43.910000,44.669998,43.833321,18674100
2019-08-30,45.119999,45.930000,45.049999,45.270000,44.422089,16391500
2019-09-03,44.599998,45.330002,44.439999,44.990002,44.147335,17108100
2019-09-04,46.450001,47.500000,46.400002,46.810001,45.933247,26978100
2019-09-05,47.900002,49.639999,47.889999,49.029999,48.111664,33075500
2019-09-06,48.860001,49.500000,48.700001,48.970001,48.052792,19565700
2019-09-09,49.540001,50.000000,48.860001,49.130001,48.209793,19474400
2019-09-10,49.369999,49.939999,48.500000,49.389999,48.464920,23111300
2019-09-11,50.020000,51.389999,49.840000,50.480000,49.534504,31012900
2019-09-12,50.799999,51.119999,50.099998,50.439999,49.495255,19671300
2019-09-13,50.509998,50.950001,50.060001,50.500000,49.554134,14733000
2019-09-16,49.529999,50.240002,49.020000,50.150002,49.210690,17495300
2019-09-17,50.180000,50.910000,49.930000,50.840000,49.887768,13776500
2019-09-18,51.000000,51.169998,49.689999,50.480000,49.534504,15247100
2019-09-19,51.169998,51.299999,49.750000,49.820000,48.886871,16633600
2019-09-20,50.340000,50.450001,48.770000,49.160000,48.239227,23195000
2019-09-23,49.540001,50.189999,49.480000,49.599998,48.670990,16198500
2019-09-24,49.740002,49.900002,48.049999,48.509998,47.601402,24959000
2019-09-25,48.470001,49.700001,47.860001,49.470001,48.543427,23571800
2019-09-26,49.380001,49.740002,48.130001,48.599998,47.689720,33341000
2019-09-27,45.900002,45.919998,42.910000,43.209999,42.400677,75941400
2019-09-30,43.000000,43.470001,42.580002,42.849998,42.047417,31423100
2019-10-01,43.099998,43.340000,41.750000,42.299999,41.507717,28087300
2019-10-02,41.820000,42.669998,41.759998,41.980000,41.193710,26408500
2019-10-03,42.000000,43.490002,41.759998,43.459999,42.645996,23627100
2019-10-04,43.709999,44.619999,43.290001,44.549999,43.715584,21860000
2019-10-07,44.299999,44.730000,44.060001,44.160000,43.332886,14911600
2019-10-08,43.599998,43.840000,42.619999,42.639999,41.841351,20664600
2019-10-09,43.180000,43.380001,42.830002,42.880001,42.076855,12784000
2019-10-10,42.869999,43.790001,42.610001,43.279999,42.469360,15572600
2019-10-11,44.389999,45.820000,44.279999,45.099998,44.255276,27483700
2019-10-14,44.959999,45.330002,44.799999,44.860001,44.019768,12443300
2019-10-15,45.209999,46.549999,45.040001,46.459999,45.589802,17767700
2019-10-16,45.990002,46.549999,45.080002,45.160000,44.314152,16646900
2019-10-17,45.770000,46.119999,45.279999,45.500000,44.647781,11718700
2019-10-18,44.830002,44.980000,43.230000,43.470001,42.655804,26215300
2019-10-21,43.959999,45.299999,43.919998,45.220001,44.373024,15473700
2019-10-22,45.299999,45.700001,44.619999,44.660000,43.823521,13802400
2019-10-23,44.049999,44.820000,43.950001,44.660000,43.823521,13959200
2019-10-24,45.900002,47.160000,45.580002,47.099998,46.217808,25760200
2019-10-25,47.279999,48.270000,46.919998,48.029999,47.130390,19855300
2019-10-28,48.500000,48.750000,48.230000,48.689999,47.778038,15240000
2019-10-29,48.799999,49.169998,48.060001,48.110001,47.208897,12183600
2019-10-30,48.220001,48.340000,47.259998,47.880001,46.983208,12932800
2019-10-31,47.279999,47.880001,46.459999,47.549999,46.659386,15445800
2019-11-01,47.480000,48.540001,47.250000,48.380001,47.473839,18311700
2019-11-04,49.389999,49.900002,49.250000,49.590000,48.661179,16021500
2019-11-05,49.619999,49.720001,48.610001,48.680000,47.768223,13682600
2019-11-06,48.150002,48.299999,47.110001,47.680000,46.786949,21803600
2019-11-07,48.520000,49.080002,48.000000,48.400002,47.493465,19253600
2019-11-08,47.560001,48.009998,46.950001,47.189999,46.306126,18518800
2019-11-11,46.720001,46.740002,45.849998,46.259998,45.393539,14635900
2019-11-12,46.799999,47.680000,46.680000,46.900002,46.021561,15170700
2019-11-13,46.500000,46.549999,45.810001,46.299999,45.432793,15423600
2019-11-14,46.119999,46.830002,45.770000,46.799999,45.923431,11797400
2019-11-15,47.599998,48.520000,47.340000,47.709999,46.816387,17859200
2019-11-18,47.950001,48.410000,47.470001,47.820000,46.924320,12631200
2019-11-19,48.110001,48.180000,46.279999,46.580002,45.707550,18384000
2019-11-20,46.150002,46.500000,45.230000,45.570000,44.716473,24660700
2019-11-21,45.299999,46.180000,45.040001,45.549999,44.696846,14192900
2019-11-22,45.930000,46.380001,45.750000,45.869999,45.010853,11253700
2019-11-25,46.099998,47.549999,45.939999,47.520000,46.629951,18803600
2019-11-26,47.650002,47.669998,46.540001,46.720001,45.844933,12849300
2019-11-27,47.349998,48.270000,47.110001,48.160000,47.257965,15409400
2019-11-29,47.939999,47.950001,47.439999,47.509998,46.620132,7343600
2019-12-02,47.570000,47.950001,46.349998,46.389999,45.521111,16053800
2019-12-03,45.119999,45.400002,44.549999,45.230000,44.382839,20321400
2019-12-04,46.180000,46.599998,45.730000,46.299999,45.432793,16921700
2019-12-05,46.709999,47.400002,46.250000,46.619999,45.746803,13003800
2019-12-06,47.439999,48.330002,47.320000,47.930000,47.032265,20468100
2019-12-09,47.570000,47.770000,46.430000,46.450001,45.579987,16540500
2019-12-10,47.040001,47.919998,46.720001,47.459999,46.571064,19263100
2019-12-11,47.750000,49.340000,47.689999,49.259998,48.337349,22081300
2019-12-12,49.360001,51.330002,49.320000,50.970001,50.015335,36590800
2019-12-13,51.020000,52.320000,50.700001,51.200001,50.241020,30039700
2019-12-16,52.759998,54.299999,52.689999,52.939999,51.948433,38629600
2019-12-17,53.990002,54.000000,52.650002,53.000000,52.007305,28344800
2019-12-18,53.000000,53.720001,52.369999,53.040001,52.046558,39099100
2019-12-19,55.009998,55.290001,53.900002,54.529999,53.508652,55792900
2019-12-20,54.900002,55.930000,54.630001,55.060001,54.028725,44285000
2019-12-23,55.230000,56.110001,55.139999,55.400002,54.362358,23693800
2019-12-24,55.450001,55.639999,55.040001,55.419998,54.381973,8621900
2019-12-26,55.450001,55.650002,54.910000,55.110001,54.077782,13537400
2019-12-27,55.240002,55.529999,53.889999,54.029999,53.018013,17176700
2019-12-30,53.770000,53.880001,52.660000,53.209999,52.213371,15271500
2019-12-31,52.910000,53.900002,52.779999,53.779999,52.772694,13296400
2020-01-02,54.849998,55.490002,54.509998,55.389999,54.352539,20173200
2020-01-03,54.160000,55.310001,54.000000,54.529999,53.508652,16815800
2020-01-06,53.750000,54.139999,53.160000,53.570000,52.566635,18768700
2020-01-07,55.380001,58.400002,55.360001,58.270000,57.178600,49908200
2020-01-08,58.090000,58.389999,57.060001,57.520000,56.442646,29730800
2020-01-09,58.320000,58.480000,56.480000,57.310001,56.236580,22376100
2020-01-10,57.470001,57.500000,56.270000,56.669998,55.608566,19122800
2020-01-13,57.009998,57.779999,56.860001,57.450001,56.373955,16163000
2020-01-14,57.799999,58.299999,56.459999,57.520000,56.442646,26454300
2020-01-15,57.029999,57.119999,55.840000,56.169998,55.117935,21638600
2020-01-16,56.799999,57.840000,56.759998,57.680000,56.599648,22732700
2020-01-17,58.020000,58.119999,57.009998,57.660000,56.580021,20549200
2020-01-21,57.369999,59.180000,57.270000,58.970001,57.865486,24821700
2020-01-22,59.520000,60.250000,58.849998,59.169998,58.061741,22604400
2020-01-23,60.330002,60.560001,59.029999,59.200001,58.091187,26146100
2020-01-24,60.000000,60.020000,57.240002,57.759998,56.678154,28555300
2020-01-27,55.150002,55.990002,54.619999,55.410000,54.372166,27310100
2020-01-28,56.250000,56.779999,55.240002,56.470001,55.412315,18544900
2020-01-29,55.990002,57.189999,55.290001,55.299999,54.264225,19278300
2020-01-30,54.180000,55.070000,53.220001,55.029999,53.999283,30783800
2020-01-31,55.150002,55.200001,52.700001,53.090000,52.095623,28550800
2020-02-03,53.250000,54.110001,53.000000,53.779999,52.772694,20471900
2020-02-04,55.290001,56.020000,54.939999,55.500000,54.460476,19998600
2020-02-05,57.020000,57.259998,55.820000,56.770000,55.706699,19795300
2020-02-06,58.080002,59.169998,57.410000,58.680000,57.580925,23358700
2020-02-07,57.970001,58.000000,56.770000,56.880001,55.814636,20891100
2020-02-10,56.299999,57.340000,56.200001,57.330002,56.256210,15929000
2020-02-11,57.880001,58.840000,56.330002,57.250000,56.177708,26776900
2020-02-12,59.040001,61.189999,58.900002,59.270000,58.159874,47180800
2020-02-13,59.009998,60.630001,58.860001,59.330002,58.218754,23679700
2020-02-14,60.160000,60.560001,58.259998,58.500000,57.404289,20920200
2020-02-18,57.070000,58.040001,56.619999,57.750000,56.668335,21513200
2020-02-19,58.580002,60.250000,58.560001,59.990002,58.866386,23335500
2020-02-20,59.880001,59.990002,57.689999,59.000000,57.894920,20797100
2020-02-21,58.630001,58.730000,55.889999,56.990002,55.922577,27038900
2020-02-24,53.310001,55.459999,52.610001,55.009998,53.979660,33321100
2020-02-25,54.840000,55.450001,51.549999,52.099998,51.124161,41894200
2020-02-26,52.650002,54.270000,51.880001,52.369999,51.389107,28075600
2020-02-27,50.630001,52.849998,49.990002,50.580002,49.632637,36349200
2020-02-28,48.650002,52.919998,48.389999,52.560001,51.575550,40121300
2020-03-02,53.200001,54.689999,52.099998,54.590000,53.567524,33272700
2020-03-03,54.599998,55.400002,51.099998,51.799999,50.829784,36893200
2020-03-04,53.020000,55.380001,52.209999,55.290001,54.254417,28222000
2020-03-05,53.450001,55.610001,53.340000,53.720001,52.713821,26223000
2020-03-06,52.200001,53.189999,50.000000,51.470001,50.505962,30313700
2020-03-09,45.480000,48.599998,44.919998,45.970001,45.108982,31260800
2020-03-10,48.150002,48.259998,45.290001,47.860001,46.963585,31652900
2020-03-11,46.200001,46.320000,42.849998,43.720001,42.901123,38483800
2020-03-12,39.400002,42.540001,38.000000,38.810001,38.083088,40117200
2020-03-13,41.570000,43.020000,38.349998,42.990002,42.184799,35264800
