"Comment","Author","PublishedAt","LikeCount"
"nice left-wing commie gay ABCDEF+ propaganda you did. But it won’t work","@user-sc1zr5nh8l","2024-07-28T09:06:52Z","0"
"ISRAEL KILLED 342 ATHLETES IN THEN A YEAR","@BuTel-c2u","2024-07-28T09:05:11Z","0"
"İğrenç görüntüler🙄..","@damladamla7428","2024-07-28T09:05:06Z","0"
"The very best EVER!!! So beautiful& creative","@mayuree72","2024-07-28T09:04:06Z","2"
"""Something is coming, you can feel it, cant't you""- Joseph Seed","@kaczorze","2024-07-28T09:03:25Z","1"
"What a shame ?","@user-dt8os5oo9e","2024-07-28T09:03:13Z","0"
"Who's the bearded  lady? 🤣🤣🤣🤣  Nice freak show BTW.","@freshman80","2024-07-28T09:03:01Z","0"
"How can so much politics and ideology be mixed into such an event? DISGUSTING. In Poland, a sports commentator has already been suspended for his observations, namely commenting on Lennon's song as the author himself interprets it. Europe is dying.","@pawelem4253","2024-07-28T09:00:23Z","0"
"Why no funny performances about Muhammad?","@DG-xk1pi","2024-07-28T09:00:15Z","1"
"Wtf has it turned into jesus Christ I'm happy I didn't watch any of it.","@gorankellett732","2024-07-28T08:58:44Z","0"
"France will get what it deservs","@Nswa87PATAPON","2024-07-28T08:58:08Z","0"
"1:04:01  Isn't Democratic People's Republic of Korea the North Korea ??","@dheerajjadhav5284","2024-07-28T08:57:42Z","0"
"Brigite Macron is pregnant you can see tinny litle arm of the baby hanging out of her legs.","@sacrf827","2024-07-28T08:57:35Z","0"
"🤮🤮🤮","@nebitno6955","2024-07-28T08:56:00Z","0"
"Wee see flat earth 🌎 1:01","@KruppWT","2024-07-28T08:55:39Z","0"
"will never understand this For whoever is pure in soul will not do this","@1984coy","2024-07-28T08:54:51Z","0"
"EUROPA  sa zblaznila.....","@bernardinazitna6483","2024-07-28T08:54:28Z","1"
"Boycott the Olympics in Paris.  Be relentless .Show them we do not tolerate the disrespect for Jesus Christ !","@western1010","2024-07-28T08:53:03Z","0"
"*_2:59:40_**_ God bless Britain and it's radio hosts. Mocking something so preposterously pretentious. France tried to have a go on symbolism but they couldn't even outshine the shoes of Syria and their history, syria which France tormented for decades in their imperial age._*","@MadKingOfMadaya","2024-07-28T08:52:48Z","0"
"Disgraceful.","@dextro1179","2024-07-28T08:52:28Z","0"
"They have deleted the opening ceremony from official accounts 🤦 What a shame, didn't they know beforehand that reactions would be in such a way? 😏","@gunelbabayeva5925","2024-07-28T08:52:23Z","0"
"What a disaster..","@mertcanyldz2342","2024-07-28T08:50:35Z","0"
"something terrible","@salutaris669","2024-07-28T08:50:21Z","1"
"Shame !!!!","@butcher_bay","2024-07-28T08:47:27Z","1"
"90% was so bad.....","@joaoverissimoalmeida2364","2024-07-28T08:47:11Z","0"
"who is on photo  2:49:43 ????","@carolawayhunt","2024-07-28T08:45:47Z","0"
"Nagyon örülök, hogy nem Budapest rendezi az Olimpiát! Mert Magyar ként szégyeltem volna magam ha prájd szinvonalú megnyitót kellett volna tartani, hogy megfeleljünk az EU irányelveinek. És az Oroszokat sem tiltottam volna ki! Az olimpia a megmérettetéstől és a versenyről szól! Európa gyáva, hogy az Orosz sportolókkal megméresse magát?  I am very glad that Budapest is not hosting the Olympics! Because as a Hungarian, I would have been ashamed if we had to hold a gay pride opening in order to comply with EU directives. And I wouldn't have blocked the Russians either! The Olympics are all about competitions and competitions! Is Europe cowardly to compete with Russian athletes?","@attilakovacs6428","2024-07-28T08:43:27Z","2"
"WTF is this absolute poison","@darrenbyrne5345","2024-07-28T08:42:15Z","0"
"We all going insane its okey, just enjoy the ride, it will be long !","@aj9485","2024-07-28T08:41:33Z","0"
"So what's the symbolism here: 3:00:40? All countries will join the horseman of the Apocalypse?","@alexm1-1","2024-07-28T08:40:38Z","0"
"co za gówno","@mateuszkarpteamjawor6383","2024-07-28T08:40:26Z","0"
"So cool!","@JK55523","2024-07-28T08:40:11Z","0"
"I don't have the energy to watch This 4h straight so and I'm a Christian so sombody please explain how they mocked Christianity","@Breadz_shorts","2024-07-28T08:38:35Z","1"
"Воситительно!!! Потрясающее шоу, пропитанное символами и предупреждениями! Интересно, какой будет церемония закрытия олимпиады-2024","@lo326flo","2024-07-28T08:37:34Z","0"
"poor quality disgrace","@yaseminakkaya8554","2024-07-28T08:37:20Z","0"
"2:30:19 Satan's Ball    Graduation in a madhouse","@1984coy","2024-07-28T08:37:05Z","0"
"TRASH","@julienmilchev5177","2024-07-28T08:36:36Z","0"
"The most disgusting olympic ceremonial i have ever seen.","@peternovak6197","2024-07-28T08:35:45Z","0"
"unbelievable how much bad taste, lack of culture, kitsch, unpreparedness, lack of imagination, and so much money they wasted and they had four years to prepare???!!!","@ivanagruda3506","2024-07-28T08:34:49Z","1"
"2:38:50 - why this guy wearing black outfit  on the left, is showing off his balls?!","@isuke01","2024-07-28T08:32:35Z","0"
"Gay France","@Adi-js9ei","2024-07-28T08:31:44Z","1"
"Disgusting🤮🤮🤮","@ron10jean","2024-07-28T08:31:34Z","1"
"Trash ceremony. As trash as Eurovision. Tfu","@revils9984","2024-07-28T08:28:53Z","0"
"Об открытии Олимпийских игр в Париже  👉Для ультрафундаменталистов:  📢Имеется в виду не «Тайная вечеря» Леонардо да Винчи, а «Пир богов» Яна Харменса ван Бильерта, написанный около 1635 года и в настоящее время находящийся в музее Маньен в Дижоне.  📜✍️Боги Олимпа празднуют бракосочетание Фетиды и Пелея; в центре стола не Христос, а коронованный Аполлон, а на первом плане лежит Вакх-Дионис.","@Lara.p.","2024-07-28T08:28:41Z","0"
"А теперь зайдите на открытие олимпиады в России 2014 году.  Время 2:08:00 . Это для тех, кто хочет быстро излечиться от увиденного бала сатаны в Париже. Господи помоги нам🙏 снова и снова убеждаюсь в том, что Россия все делает правильно❤","@like1488","2024-07-28T08:27:44Z","1"
"💩","@italianpasta9512","2024-07-28T08:27:17Z","0"
"Why do they have to force their perversion on the world?","@Robcsi1234","2024-07-28T08:25:58Z","1"
"Can u shut up during the shows ??????????","@dawidkurek3991","2024-07-28T08:24:15Z","0"
"Worst ceremony in history and wow","@karinpaz5764","2024-07-28T08:22:36Z","1"
"Totálny grc, bléééééééé....","@topolvar","2024-07-28T08:22:12Z","0"
"Nasty and boring ceremony","@juja6042","2024-07-28T08:22:08Z","0"
"Probably that opening  is a  Russian sabotage too 🤣🤣🤣🤣🤣","@risbolensky3921","2024-07-28T08:21:06Z","0"
"What a disgrace 😢 shame shame","@GST569","2024-07-28T08:18:37Z","1"
"Didn't know France won the Eurovision last year.","@user-iu6hu8oq5p","2024-07-28T08:18:26Z","0"
"Бесовское зрелище!","@n0739722100","2024-07-28T08:18:25Z","3"
"Vasat","@sdyldrm","2024-07-28T08:17:21Z","0"
"🤮🤮🤮","@hilalors5973","2024-07-28T08:16:26Z","1"
"We are tired of this crap,the opening is a SHAME adressed to the human kind(men and women),you made a circus of gay,transgender and God knows what other demonic creatures😢,shame on you France,shame upon you french people.","@faurcamelia8516","2024-07-28T08:16:24Z","2"
"Amazing performance, outside the stadiums finally","@bogdanbuduroiu5889","2024-07-28T08:15:52Z","4"
"Ez a Sátán orgiája. Itt tart Nyugat Európa. Ott mindenki vak???","@parolalogopediaistudio3216","2024-07-28T08:15:24Z","0"
"The ceremony of homosexuals 😂","@mrmachinemarket","2024-07-28T08:14:26Z","1"
"Opening ceremony - a spit in the face of Christianity.","@Theod71","2024-07-28T08:14:21Z","0"
"Jestem Polakiem Katolikiem. Francuzi i reszta ,,nowoczesnego&#39;&#39; świata, do czego Was doprowadził świat bez Boga? Sami widzicie. Chyba, że taki świat Wam się podoba....","@marcinsiekiera7627","2024-07-28T08:13:28Z","0"
"Türkiye Cumhuriyeti 🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷","@user-qv1ol3nz4z","2024-07-28T08:13:08Z","0"
"Sick","@karolredyk7564","2024-07-28T08:11:37Z","0"
"Chujnia z grzybnią","@2rotomoto","2024-07-28T08:11:07Z","0"
"Черти.","@user-lm8jh8sj9e","2024-07-28T08:10:30Z","0"
"Refugee Olympic Team 🎉🎉🎉<a href=""https://www.youtube.com/watch?v=j-Ou-ggS718&amp;t=885"">14:45</a> min.","@ebruturgut642","2024-07-28T08:10:18Z","0"
"Pride has to perish","@bauehoornaert2451","2024-07-28T08:08:44Z","0"
"<a href=""https://www.youtube.com/watch?v=j-Ou-ggS718&amp;t=3330"">55:30</a> bunlar simdi kiza 2 kisimi daldi ve bunu dunyaya grup s@xs olarak lanse mi ettiler","@powerturk80","2024-07-28T08:07:53Z","0"
"France got crush on AC Unity?","@multivitamin425","2024-07-28T08:07:40Z","0"
"Change tittle with  OPENING GAYS","@mrmachinemarket","2024-07-28T08:07:06Z","0"
"Russian bots spamming negativity here as well? No wonder, since they are kicked out for doping and war. What a disgrace this country is. Throwing dirt at everything that shines.","@csland","2024-07-28T08:06:18Z","2"
